t_h;X;G;S;A;P
0.0;0.61900326;7.54253284;53.6778601;7.67095392;0.0
3.33;0.80267039;6.31338565;54.0900631;6.50811302;0.0
9.5;2.23102003;3.00587743;49.8114896;7.52086457;5.448729022
15.58;4.25787921;1.56864412;34.3812837;5.88515583;11.04032327
21.58;5.42229467;1.58566261;24.2939744;5.90057753;19.1980207
27.91;7.32417327;0.87488367;15.0971383;5.39094718;25.59511768
33.16;9.76944574;0;11.5455477;5.45914735;26.44425117
39.16;12.6416705;0;8.44803389;5.39475725;26.045459
42.49;12.474771;0;7.14252185;5.10028458;25.62219234
45.07;12.8629095;0;6.81262139;5.49906231;27.00400032
